Stock,กองทุนทดแทนความเสียหายในระบบการชำระราคาและส่งมอบหลักทรัพย์,กิจการที่เกี่ยวข้องกัน,ค่าความนิยม,ค่าความนิยม - สุทธิ,ค่าลิขสิทธิ์ซอฟแวร์,ค่าใช้จ่ายจ่ายล่วงหน้า,ค่าใช้จ่ายรอตัดบัญชี,งานระหว่างทำ,จากการให้เช่าและบริการ,จากเงินปันผลและดอกเบี้ย,ดอกเบี้ยค้างรับ,ตราสารหนี้ที่จะถือจนครบกำหนด,ต่างประเทศ - มีดอกเบี้ย,ต่างประเทศ - ไม่มีดอกเบี้ย,ต้นทุนโครงการพัฒนาอสังหาริมทรัพย์,ทรัพย์สินรอการขาย - สุทธิ,ที่ดิน อาคาร และอุปกรณ์,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,ที่ดิน อาคาร และอุปกรณ์ตามสัญญาเช่าการเงิน,บริษัทย่อย,บริษัทร่วม กิจการร่วมค้า และ/หรือ กิจการที่ควบคุมร่วมกัน,บุคคลหรือกิจการที่เกี่ยวข้องกัน,บุคคลหรือกิจการอื่น,ภาระของลูกค้าจากการรับรอง,ภาษีซื้อที่ยังไม่ถึงกำหนด,ภาษีมูลค่าเพิ่มค้างรับ,ภาษีมูลค่าเพิ่มรอเรียกคืน,ภาษีเงินได้ระหว่างการขอคืน,ภาษีเงินได้หัก ณ ที่จ่าย,มูลค่างานที่เสร็จยังไม่ได้เรียกเก็บ,รวมสินทรัพย์,รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,รายการระหว่างธนาคารและตลาดเงิน,รายได้ค้างรับ,รายได้จากการลงทุนค้างรับ,ลูกหนี้,ลูกหนี้การค้าและลูกหนี้อื่น,ลูกหนี้จากการขายเงินลงทุน,ลูกหนี้จากผลตอบแทนในสิทธิการเช่าอสังหาริมทรัพย์,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ระยะยาวอื่น - สุทธิจากส่วนที่ถึงกำหนดภายในหนึ่งปี,ลูกหนี้ระยะยาวอื่นที่ถึงกำหนดภายในหนึ่งปี,ลูกหนี้ระยะสั้นอื่น - สุทธิ,ลูกหนี้สำนักหักบัญชี,ลูกหนี้อื่น - สุทธิ,วัตถุดิบ อะไหล่และวัสดุสิ้นเปลือง,สิทธิการเช่า - สุทธิ,สิทธิในการเรียกคืนหลักทรัพย์ / ภาระของลูกค้าจากการประกอบธุรกิจอื่น,สิทธิในสัมปทาน,สินค้าคงเหลือ,สินค้าระหว่างทาง,สินค้าสำเร็จรูป,สินทรัพย์,สินทรัพย์จากการประกันภัยต่อสุทธิ,สินทรัพย์ชีวภาพ,สินทรัพย์ชีวภาพ - สุทธิ,สินทรัพย์ตราสารอนุพันธ์,สินทรัพย์ตราสารอนุพันธ์หมุนเวียน,สินทรัพย์ตราสารอนุพันธ์ไม่หมุนเวียน,สินทรัพย์ทางการเงิน,สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ภายใต้สัญญาสัมปทาน,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,สินทรัพย์ลงทุน,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น - อื่น ๆ,สินทรัพย์อื่น - สุทธิ,สินทรัพย์อื่น - อื่น ๆ,สินทรัพย์ไม่มีตัวตน - สุทธิ,สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่หมุนเวียน - อื่น ๆ,สินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย,สินทรัพย์ไม่หมุนเวียนอื่น,ส่วนที่เพิ่มขึ้นจากการตีราคาที่ดิน อาคาร และอุปกรณ์,ส่วนที่เพิ่มขึ้นจากการตีสินทรัพย์ไม่มีตัวตน,ส่วนปรับปรุงที่ดิน อาคาร และอุปกรณ์,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,หัก ค่าตัดจำหน่ายสะสมสินทรัพย์ไม่มีตัวตน,หัก ค่าเผื่อการด้อยค่าของเงินลงทุน,หัก ค่าเผื่อการด้อยค่าค่าความนิยม,หัก ค่าเผื่อการด้อยค่าที่ดิน อาคาร และอุปกรณ์,หัก ค่าเผื่อการด้อยค่าสินทรัพย์ไม่มีตัวตน,หัก ค่าเผื่อการด้อยค่าอสังหาริมทรัพย์เพื่อการลงทุน,หัก ค่าเผื่อการปรับมูลค่าจากการปรับโครงสร้างหนี้,หัก ค่าเผื่อการลดมูลค่าของสินค้าคงเหลือ,หัก ค่าเผื่อหนี้สงสัยจะสูญ,หัก ค่าเสื่อมราคาสะสมที่ดิน อาคาร และอุปกรณ์,หัก ค่าเสื่อมราคาสะสมอสังหาริทรัพย์เพื่อการลงทุน,หัก รายได้รอตัดบัญชี,อสังหาริมทรัพย์รอการขาย,อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ,อื่น ๆ,เครื่องหมายการค้า,เงินค้างรับเกี่ยวกับการประกันภัยต่อ,เงินจ่ายล่วงหน้า,เงินทดรองจ่ายและเงินให้กู้ยืมระยะสั้น,เงินประกันผลงาน,เงินปันผลค้างรับ,เงินฝากระยะยาวในสถาบันการเงิน,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้,เงินมัดจำ,เงินลงทุน - สุทธิ,เงินลงทุน - อื่น ๆ,เงินลงทุนซึ่งบันทึกโดยวิธีราคาทุน,เงินลงทุนที่จะถือจนครบกำหนด,เงินลงทุนระยะยาว,เงินลงทุนระยะสั้น,เงินลงทุนระยะสั้นที่มีภาระผูกพัน,เงินลงทุนอื่น,เงินลงทุนเผื่อขาย,เงินลงทุนเพื่อค้า,เงินลงทุนแสดงตามมูลค่ายุติธรรม,เงินลงทุนในบริษัทร่วม กิจการร่วมค้า และ/หรือ กิจการที่ควบคุมร่วมกันซึ่งบันทึกโดยวิธีส่วนได้เสีย,เงินลงทุนในหลักทรัพย์,เงินลงทุนในอสังหาริมทรัพย์,เงินวางไว้จากการประกันภัยต่อ,เงินสดและรายการเทียบเท่าเงินสด,เงินให้กู้ยืมระยะยาว - สุทธิจากส่วนที่ถึงกำหนดภายในหนึ่งปี,เงินให้กู้ยืมระยะยาวที่ถึงกำหนดภายในหนึ่งปี,เงินให้กู้ยืมแก่พนักงาน,เงินให้กู้ยืมและลูกหนี้,เงินให้สินเชื่อ ลูกหนี้ และดอกเบี้ยค้างรับ - สุทธิ,เงินให้สินเชื่อแก่สถาบันการเงิน,เบี้ยประกันภัยค้างรับสุทธิ,โดยมีกรมธรรม์ประกันภัยเป็นประกัน,โดยมีทรัพย์สินจำนองเป็นประกัน,ในประเทศ - มีดอกเบี้ย,ในประเทศ - ไม่มีดอกเบี้ย
TKN,,,42.02,42.02,,,,,,,,,,,,,,"1,094.14",,,,,,,,,,,,,"3,322.12","2,071.25","1,250.87",,,,,633.65,,,,,,,,,,,,,729.76,,,(หน่วย: ล้านบาท),,,,,,,,,,,13.69,,145.14,,,,24.04,,,,37.25,,,,,,,,,,,,,,,,,,,39.75,,,,,,,,,,,,,,,,261.23,,,,,,,,,,301.46,,,,,,,,,,,
TU,,,,"14,080.06",,,,,,,,,,,,,,"25,261.48",,,,"11,274.91","1,866.38",,,,,,,,"146,267.56","62,746.57","83,521.00",,,,,"16,343.84",,,,"1,866.38",725.12,,,,,,,,"43,359.93",,,(หน่วย: ล้านบาท),,,,,,,,,,,"1,079.84",,"1,335.39",,,,"16,771.42",,,33.94,"1,301.88",,,,,,,,,,,,,,,,,,,,,,,,69.87,,,,1.47,,,,"1,012.10",,"1,012.10",63.56,,,,,,"10,867.78",,,,814.91,"11,278.59",,,,,,,,,,
TVO,,,,,,,,,,,,,,,,,"2,680.09","2,680.09",,,,,,,,,,,,,"11,615.05","8,784.80","2,830.25",,,,,"1,399.15",,,,,,,,,,,,,"6,635.81",,,(หน่วย: ล้านบาท),,,,,,,,,,,35.05,,29.12,,,,36.53,,,,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.35,,73.35,518.48,,,,,,,,,,202.24,,,,,,,,,,,
AFC,,,,,,,,,,,,,,,,,715.58,715.58,,,,,,,,,,,,,"1,449.95",702.72,747.24,,,,,160.66,,,,,,,,,,,,,212.83,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,0.01,,,,0.84,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.50,,0.50,249.85,,,,,,30.30,,,,79.39,,,,,,,,,,,
BTNC,,,,,,,,,,,,,,,,,54.23,54.23,,,,,11.70,,,,,,,,808.46,466.69,341.78,,,,,95.91,,,,,,11.70,,,,11.65,,,341.35,,,(หน่วย: ล้านบาท),,,,,,,,,,,13.49,,8.39,,,,13.70,,,,71.86,,,,,,,,,,,,,,,,,,75.69,75.69,,,,,,,,,,,,,58.25,,58.25,,,,,,,42.90,,,,9.33,,,,,,,,,,,
CPH,,,,,,,,,,,,,,,,,402.18,402.18,,,,,37.50,,,,,,,,"1,472.36",897.61,574.75,,,,,170.18,,,,,,,,,,,,,431.51,,,(หน่วย: ล้านบาท),,,,,,,,,,,0.22,,,,,,,,,,16.17,,,,,,,,,,,,,,,,,,108.91,108.91,,,,,205.05,,,,5.23,,,,1.52,,1.52,,,,,,,3.02,,,,33.17,37.50,57.70,,,,,,,,,
CPL,,,,,,,,,,,,,,,,,458.40,458.40,,,,,0.27,,,,,,,,"2,066.87","1,412.55",654.32,,,,,256.75,,,,,,,,,,0.45,,,"1,023.06",,,(หน่วย: ล้านบาท),,,,,,,,,,,57.43,,7.56,7.56,,,6.86,6.86,1.91,,1.91,,,,,,,,,,,,,,,,,,124.99,124.99,,,,,,,,,,,,,,,,16.00,,,,,,4.00,,,,109.17,0.27,,,,,,,,,,
DIGI,,,,,,,,,,,,,,,,,,28.89,,,,,30.16,,,,,,,,992.63,902.65,89.97,,,,,72.41,,,,,,,,,,,,,776.28,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,10.64,,,,16.61,,,,38.52,,,,,,,,,,,,,,,,,,,,,,,,30.16,,,,5.95,,,,,,,,,,,,,,,,,13.17,,,,,,,,,,,
ICC,,"1,616.22",,,27.36,71.13,,3.79,,,3.13,418.69,,,157.76,,"5,352.09","2,874.17",,,,60.00,2.26,,14.26,,,,4.85,,"23,280.16","6,902.91","16,377.25",,29.51,,,"1,914.38",,,,,,,,,49.17,18.64,,,"3,584.55",75.66,"3,418.91",(หน่วย: ล้านบาท),,,,,,,,,,,,,462.88,335.29,,,31.80,7.96,25.05,,202.61,,,,,36.82,440.09,,,,110.74,,120.74,20.98,"2,477.92",120.83,,,"1,263.34","1,031.77",,33.30,,4.72,,,,,,177.55,,,"11,329.10",,666.24,655.70,,,"9,068.04",,,826.91,,,,255.40,62.26,30.00,,,,,,,,,
LTX,,87.80,,,67.45,,,356.51,,,,,,,,,"13,934.59","4,489.98",405.27,,,4.99,32.90,,,,,,,,"8,989.45","2,883.83","6,105.62",,,,,"1,494.06",,,,,,37.89,,,387.12,,,,"1,269.53",89.58,467.86,(หน่วย: ล้านบาท),,,,,,,,,,,19.18,,,,,,26.87,,,,13.11,,,,,40.58,,,,,,,31.53,,"9,849.88",,,,,,,,,10.26,,,,,,2.85,,,210.17,,33.55,,,,88.82,,,"1,346.31",,,,82.35,,,,,,,,,,,
NC,,,,,,,,,,,,,,,,,,28.53,,,,,,,,,,,,,721.99,431.08,290.92,,,,,156.05,,,,,,,,,,4.95,,,274.50,,,(หน่วย: ล้านบาท),,,,,,,,,,,21.02,,,,,,,,,,7.18,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,186.25,,,,,,,,,41.78,,,,0.53,,,,,,,,,,,
PAF,,11.45,,,,,,,,,,,,,,,106.82,106.82,,,,,,,,,,,,,722.53,307.98,414.55,,,,,165.58,,,,,,,,,,,,,92.10,,,(หน่วย: ล้านบาท),,3.89,3.89,,,,,,,,0.87,,8.61,8.61,,,,,,,6.71,,,,,,,,,,,,,,,,,,278.26,278.26,,,,,0.28,,,,6.51,,,,11.49,,,0.01,,,0.05,,,,,,,41.40,,,,,,,,,,,
PDJ,,,,,,,,,,,,,,,,,699.77,699.77,,,8.98,8.21,,,,,,,,,"4,216.60","2,646.32","1,570.28",,,,,401.63,,,,8.21,,,,,,36.19,,,"1,867.79",,,(หน่วย: ล้านบาท),,,,,,,,,,,91.47,,131.45,131.45,,,32.68,32.68,22.23,,22.23,,,,,,,,,,,,,,,,,,589.57,589.57,,,,,26.00,,,,31.02,,,,59.15,,50.17,,,,,,,,,,,219.44,,,,,,,,,,,
PG,,,,,,,,,,,,,,,,,139.82,139.82,,,,,,,,,,,,,"1,778.10",760.85,"1,017.26",,,,,191.94,,,,,,,,,,,,,335.53,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,10.66,,,,5.41,,,,2.85,,,,,,,,,,,,,,,,,,0.39,0.39,,,,,,,,,,,,,868.79,,191.52,183.59,,,677.27,,,,,,,39.14,,,,,,,,,,,
SABINA,,,,,,,,,,,,,,,,,,283.46,,,,,8.57,,,,,,,,"2,387.25","1,869.44",517.81,,,,,341.98,,,,,,8.57,,,,17.61,,,975.64,,,(หน่วย: ล้านบาท),,,,,,,,,,,162.36,,129.93,,,,3.55,,,,45.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.83,,,5.00,,5.00,369.44,,,,,,,,,,43.89,,,,,,,,,,,
SAWANG,,,,,,,,,,,,,,,,,29.40,29.40,,,,,49.60,,,,,,,,532.08,443.14,88.93,,,,,49.60,,,,,,,,,,,,,342.18,,,(หน่วย: ล้านบาท),,,,,,,,,,,5.48,,1.04,1.04,,,0.17,0.17,1.09,,1.09,,,,,,,,,,,,,,,,,,52.79,52.79,,,,,,,,,,,,,,,,,,,,,,,,,,50.33,,,,,,,,,,,
SUC,,,521.72,521.72,5.56,,,100.72,,,,,,,,,"14,968.60","7,063.26",,,,125.52,"2,064.60",,,,,21.68,,,"25,540.85","8,297.04","17,243.80",,,,,"2,051.04",,,,,,,,,659.06,,,,"1,013.52",87.35,242.40,(หน่วย: ล้านบาท),,,,,,,,,,,93.52,,97.11,97.11,,,5.56,,138.51,,173.45,,,,,,339.75,,5.99,,184.22,,76.00,26.90,"7,899.35","2,180.95",,,"4,463.89","2,098.72",,,,13.26,125.52,,,,32.89,,,,"2,385.86",,"1,099.54","1,053.47",,,"1,626.08",,,"4,868.82",,,,"3,956.38",,,,,,,,,,,
TNL,,,,,,,,,,,,402.25,,,,,,409.77,,,7.35,50.00,,,,,,,,,"4,373.13","1,374.45","2,998.68",,,,,289.11,,,,,,,,,,10.54,,,345.73,,,(หน่วย: ล้านบาท),,,,,,,,,,,37.65,,12.06,,,,14.09,,12.80,,12.80,,,,,,,,,,,,,,,,,,58.29,58.29,,,,,50.00,,,,,,,,"2,455.54",,418.40,629.32,,,"1,627.53",,,,,,,48.24,,,,,,,,,,,
TPCORP,,,,,,,,,,,,23.54,,,,,566.68,566.68,,,,19.56,,,,,,,,,"2,763.77","1,503.49","1,260.28",,,,,258.15,,,,,,,,,,,,,72.17,,,(หน่วย: ล้านบาท),,,,,,,,,,,51.57,,7.49,,,,3.60,,0.00,,0.55,,,,,,,,,,,,,,,,,,205.50,205.50,,,,,19.56,,,,,0.54,,,396.42,,223.62,"1,069.08",,,149.26,,,35.96,,,,77.04,,,,,,,,,,,
TR,,,,,,,,,,,,,,,,,"3,121.46","3,121.46",,,,72.98,,,,,,,,,"25,032.75","5,816.04","19,216.71",,,,,"1,405.00",,,,,,,,,,,,,"1,517.75",,,(หน่วย: ล้านบาท),,,,,,,,,,,30.39,,142.34,,,,,,2.82,,14.96,,,,,,,,,,,,,,,,,,,,,,,12.14,72.98,,,,,,,,"2,803.06",,"2,803.06","2,464.34",,,,,,"13,246.83",,,,213.62,,,,,,,,,,,
TTI,,,,,8.54,,,,,,,,,,,,,"2,317.45",,,,,,,,,,12.63,,,"4,184.30","1,653.69","2,530.62",,,,,394.26,,,,,,,,,,,,,"1,113.29",,,(หน่วย: ล้านบาท),,,,,,,,,,,82.92,,,,,,8.54,,0.07,,12.69,,,,,,,,,,,,,,,,,,,48.22,,,,,,,,,,,,,60.79,,60.79,,,,,,,,,,,146.14,,,,,,,,,,,
TTL,,,,,,,,,,,,69.00,,,,,12.59,12.59,,,,0.88,4.18,,,,,,,,"1,356.29","1,131.78",224.50,,,,,,,,,,,4.18,,,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,0.29,,,,0.47,,,,0.14,,,,,,,,,,,,,,,,,,117.91,117.91,,,,,,,,,,,,,92.51,,18.51,"1,121.28",,,5.00,,,,,,,3.37,0.88,2.66,,,,,,,,,
TTTM,,,,,,,,,,,,,,,,,732.68,732.68,,,,,22.35,,,,,,,,"1,658.59",845.34,813.25,,,,,241.95,,,,,,22.35,,,,4.32,,,199.86,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,60.03,,,,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30,,10.64,,,,0.66,,,,,,,381.18,,,,,,,,,,,
UPF,,,,,0.08,0.09,,24.44,,,,5.40,,,,,82.43,82.43,,,,4.04,135.52,,,,,,,,480.16,383.70,96.46,,,,,139.40,,,,,,,,,109.55,,,,164.04,,30.05,(หน่วย: ล้านบาท),,,,,,,,,,,8.33,,2.96,2.96,,,0.08,,0.12,,0.22,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,5.40,,,9.94,,,,,,,,,,67.36,,,,,,,,,,,
UT,,,,,,,,26.24,,,,,,,,,141.47,141.47,,,232.43,173.57,0.96,,,,,,,,"1,010.21",425.30,584.91,,,,,174.53,,,,,,,,,106.07,,,,166.64,,34.33,(หน่วย: ล้านบาท),,,,,,,,,,,5.33,,3.60,3.60,,,,,11.20,,11.20,,,,,,,,,,,,,,,,,,55.32,55.32,,,,,,,,,,,,,371.58,,139.15,,,,,,,,,,,80.52,,,,,,,,,,,
WACOAL,,,,,,,,,,,,,,,,,,"1,257.31",,,165.93,,41.55,,,,,,,,"7,068.17","2,353.64","4,714.52",,,,,728.84,,,,,,,,,,2.46,,,"1,109.49",,,(หน่วย: ล้านบาท),,,,,,,,,,,,,19.86,19.86,,,37.27,,5.45,,5.45,,,,,,,,,,,,,,,,,,713.57,713.57,,,,,41.55,,,,2.06,,,,"2,696.40",,859.82,420.90,,,"1,670.65",,,,,,,32.99,,,,,,,,,,,
ACC,,,0.17,0.17,,,,,,,,,,,,,991.00,991.00,,,,,,,,,,,,,"1,633.96",348.13,"1,285.83",,,,,49.51,,,,,,,,,,,,,89.06,,,(หน่วย: ล้านบาท),,,,,,,,,,,0.15,,13.01,,,,,,,,9.99,,,,,,,,,,,,,,,,,,194.67,194.67,,,,,,,,,47.55,,,,,,,168.10,,,,,,42.30,,,,28.45,,,,,,,,,,,
AJA,,,,,,,,,,,,,,,,,289.93,289.93,,,,,43.48,,,,,,,,"1,460.23",916.86,543.36,,,,,374.87,,,,,,43.48,,,,,,,281.09,,,(หน่วย: ล้านบาท),,,,,,,,,,,44.37,,9.66,,,,3.94,,,,3.88,,,,,,,,,,,,,,,,,,,,,,,,125.05,,,,,,,,195.66,,195.66,,,,,,,5.58,,,,82.71,,,,,,,,,,,
DTCI,,,,,,,,,,,,,,,,,,95.45,,,,4.00,,,,,,,,,398.97,174.91,224.06,,,,,46.25,,,,,,,,,,,,,64.00,,,(หน่วย: ล้านบาท),,,,,,,,,,,14.64,,0.11,,,,0.58,,,,0.76,,,,,,,,,,,,,,,,,,,102.83,,,,,4.00,,,,,,,,9.79,,,,,,,,,,,,,60.54,,,,,,,,,,,
FANCY,,,,,,,,,,,,,,,,,439.42,439.42,,,,,3.20,,,,,,,,"1,423.14",849.76,573.38,,,,,47.99,,,,,,,,,,,,,776.36,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,0.01,,29.26,,40.46,,,,,,,,,,,,,,,,,,,84.10,,,,,,,,,6.18,11.20,,,,,,,,,,,,,,,,25.42,3.20,,,,,,,,,,
KYE,,,,,59.74,5.32,,107.14,,,3.80,,,,,,"6,131.46","1,452.56",,,17.89,52.05,0.29,,29.74,77.22,,,,,"8,004.24","6,237.37","1,766.88",,,,,893.84,,,,,,,,,577.63,,,,"1,229.13",23.84,554.26,(หน่วย: ล้านบาท),,,,,,,,,,,65.01,,124.15,8.07,,,45.65,,15.84,,15.84,,,,,14.09,,,,,5.39,,33.73,,"4,678.90",,,,9.58,4.19,,,,,52.05,,,,,,,,183.62,,157.36,"2,930.00",,,8.37,,,,,,,"1,008.20",,,,,,,,,,,
L&E,,,,,,,,,,,,,,,,,959.55,959.55,,,,,47.26,,,,,,,,"2,849.66","1,780.50","1,069.16",,,,,816.53,,,,47.26,,,,,,,,,878.53,,878.53,(หน่วย: ล้านบาท),,,,,,,,,,,25.90,,41.14,41.14,,,,,21.61,,21.61,,,,,,,,,,,,,32.00,,,,,1.78,1.78,,,,,,,,,13.04,,,,,,,,,,,,,,,,,44.29,,,,,,,,,,,
MODERN,,,,,38.54,21.56,,70.13,,,,,,,,,"2,070.48",743.20,,,,0.47,665.97,,,,,,,,"3,893.56","2,539.56","1,354.00",,,,,587.76,,,,,,,,,223.91,0.68,,,"1,379.04",49.08,"1,177.56",(หน่วย: ล้านบาท),,,,,,,,,,,52.57,,108.64,87.08,,,8.61,,0.03,,17.05,,,,,29.93,,,,,,,141.65,78.68,"1,327.28",421.02,,,591.74,170.72,,,,5.98,,,,,,11.05,,,312.26,,,,,,312.26,14.79,,48.90,,,,449.33,,,,,,,,,,,
OGC,,,,,,,,11.92,,,,,,,,,"1,790.86","1,790.86",,,,0.05,20.99,,,29.47,,,,,"3,052.53","1,230.25","1,822.28",,,,,208.64,,,,,,,,,371.42,,,,872.30,,493.00,(หน่วย: ล้านบาท),,,,,,,,,,,2.65,,33.31,3.84,,,18.43,,10.33,,10.33,,,,,,,,,,,,4.04,,,,,,,,,,,,20.99,,,,,,,,,,,,,,,,,,,,,95.01,,,,,,,,,,,
ROCK,,,,,,,,,,,,,,,,,259.04,259.04,,,,,,,,,,,,,702.36,341.41,360.95,,,,,71.93,,,,,,,,,,4.64,,,112.85,,,(หน่วย: ล้านบาท),,,,,,,,,,,4.24,,7.38,,,,3.10,,,,2.22,,,,,,,,,,,,,,,,,,65.50,65.50,,,,,,,,,20.58,,,,1.63,,1.50,99.57,,,0.13,,,,,,,49.69,,,,,,,,,,,
SIAM,,,0.62,0.62,,,,,,,,,,,,,"1,204.00","1,204.00",,,,4.77,305.95,,,,,,,,"3,436.58","1,085.79","2,350.79",,,,,309.12,,,,,,,,,,,,,287.42,,,(หน่วย: ล้านบาท),,,,,,,,,,,97.99,,59.40,59.40,,,,,223.55,,223.55,,,,,,,,,,,,,5.13,,,,,,,,,,,4.77,,,,0.49,,,,,,,,,,,,,824.15,,,,425.07,,,,,,,,,,,
TSR,,,,,,,,,,,,,,,,,471.03,471.03,,,13.78,,,,,,,,,,"1,481.31",858.57,622.74,,,,,23.77,,,,14.26,616.03,,,,,,,,158.51,,,(หน่วย: ล้านบาท),,,,,,,,,,,17.99,,27.69,,,,35.84,,,,8.25,,,,,,,,,,,,,,,,,,58.70,58.70,,,,,,,,,2.88,,,,13.78,,,,,,,,,,,,,32.57,,,,,,,,,,,
DDD,,,,,,,,,,,,,,,,,,278.56,,,,,,,,,,,,,"5,460.49","5,122.54",337.95,,,,,429.18,,,,,,,,,,,,,291.68,,,(หน่วย: ล้านบาท),,,,,,,,,,,7.34,,13.16,,,,16.50,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.27,,,,,,,,,,,,,,,,,"4,388.52",,,,,,,,,,,
JCT,,,,,,,,,,,,,,,,,503.81,503.81,,,,,,,,,,,,,"1,279.11",611.90,667.20,,,,,145.20,,,,,,,,,,,,,188.29,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,3.86,,,,21.76,,,,0.32,,,,,,,,,,,,,,,,,,141.31,141.31,,,,,,,,,,,,,,,,120.93,,,,,,,,,,153.62,,,,,,,,,,,
OCC,,,,,,,,,,,,,,,,,22.17,22.17,,,,9.15,,,,,,,,,"1,279.72",723.46,556.27,,,,,211.84,,,,,,,,,,46.38,,,233.74,,,(หน่วย: ล้านบาท),,,,,,,,,,,33.44,,26.36,,,,5.49,5.49,,144.25,5.57,,,,,,,,,,,,,,,,,,287.71,287.71,,,,,,,,,,,,,146.36,,44.73,70.00,,,101.62,,,,,,,37.26,9.15,,,,,,,,,,
S & J,,66.95,,,,54.38,,,,,,19.46,,,,,,"1,562.86",,,,,16.26,,,,,,,,"5,054.33","1,765.44","3,288.89",,,,,869.23,,,,,,,,,,1.27,,,684.79,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,162.78,92.46,,,29.11,,11.24,,11.24,,,,,,,,,,,,,,,,,,,95.43,,,,15.94,,,,,,,,,"1,234.00",,5.00,6.50,,,"1,142.59",,,338.71,,,,42.14,16.26,,,,,,,,,,
STHAI,,,,,,,,36.68,,,,,,,,,554.23,554.23,,,,,111.40,,,,,,,,"1,329.53",256.80,"1,072.73",,,,,111.40,,,,,,,,,26.64,,,,114.76,,62.08,(หน่วย: ล้านบาท),,,,,,,,,,,,,,,,,0.84,1.05,37.60,,37.60,,,,,0.21,,,,,,,10.65,,,,,,,,,,,,,,,,15.08,,,,,,,3.86,,,,,,464.98,,,,26.78,,,,,,,,,,,
TNR,,,,,,,,,,,,,,,,,,496.96,,,,,0.63,,,10.31,,,,,"1,261.63",738.10,523.54,,,,,392.45,,,,,,,,,,,,,113.43,,,(หน่วย: ล้านบาท),,,,,,,,,,,6.06,,10.31,,,,17.88,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.91,0.63,,,,,,,,,,
TOG,,,,,,,,,,,,,,,,,,"1,172.22",,,,,8.12,,,,,,,,"2,637.49","1,380.84","1,256.65",,,,,272.27,,,,,,,,,,,,,883.29,,,(หน่วย: ล้านบาท),,,,,,,,,,,29.32,,16.71,16.71,,,20.42,20.42,0.10,,0.10,,,,,,,,,,,,,,,,,,,,,,,,8.12,,,,,,,,,,,,,,,0.89,,34.60,,,,199.55,,,,,,,,,,,
BAY,,,,"12,537.49",,,,,,,"3,916.98",,,,,"3,684.84",,"26,401.17",,,,,,500.11,,,,,,,"2,088,772.07",,,"330,797.38",,,,,"1,315.32",,,,,,,,,,"47,134.76",,,,,(หน่วย: ล้านบาท),,,,"14,561.59",,,"14,561.59",,,,"4,823.05",,,,"19,551.27",,"4,218.63",,,,,,,,,,,,,,,"1,302.83",,"54,172.85",,,"68,953.80",,,,,,,,,,,,,,"86,156.90",,,,,,,,,,,,,,,"38,244.20",,,,"1,619,357.88","1,498,845.38",,,,,,
BBL,,,,,,,,,,,"5,061.07",,,,,"11,415.10",,"43,834.02",,,,,,"1,432.86",,,,,,,"3,076,310.39",,,,,,,,,,,,,,,,,,6.74,,,,,(หน่วย: ล้านบาท),,,,"27,359.58",,,"27,359.58",,,,"3,676.16",,,,"22,133.52","22,133.52","1,032.30",,,,,,,,,,,,,,,"2,310.37",,"137,710.62",,,507.52,,,,,,,,,,,,,,"593,180.06",,,,,,,,,,,,,,,"65,472.80",,,,"2,004,496.38","1,869,028.94","437,738.30",,,,,
