Stock,กำไร (ขาดทุน) จากการทำสัญญาป้องกันความเสี่ยง,กำไร (ขาดทุน) ที่ยังไม่เกิดขึ้นจากการเปลี่ยนแปลงสัดส่วนการลงทุน,กำไร (ขาดทุน) สะสม,กำไร (ขาดทุน) สะสม - ยังไม่ได้จัดสรร,กำไรสะสม - จัดสรรแล้ว,ค่าตอบแทนค้างจ่ายผู้ให้สัมปทานสิทธิ,ค่าเบี้ยประกันรับล่วงหน้า,ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายเกี่ยวกับพนักงานค้างจ่าย,จำนวนหุ้นทุนซื้อคืน (หน่วย : หุ้น),ดอกเบี้ยค้างจ่าย,ตราสารหนี้,ต่างประเทศ - มีดอกเบี้ย,ต่างประเทศ - ไม่มีดอกเบี้ย,ต้นทุนค่าก่อสร้างที่ยังไม่เรียกเก็บ,ทุนจดทะเบียน,ทุนที่ออกและชำระเต็มมูลค่าแล้ว,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,บัญชีปรับสมดุล,บุคคลหรือกิจการที่เกี่ยวข้องกัน,บุคคลหรือกิจการอื่น,ประมาณการหนี้สิน,ประมาณการหนี้สินระยะยาว,ประมาณการหนี้สินระยะสั้น,ผลต่างจากการแปลงค่างบการเงิน,ภาระจากการรับรอง,ภาระในการส่งคืนหลักทรัพย์,ภาษีธุรกิจเฉพาะค้างจ่าย,ภาษีมูลค่าเพิ่มค้างจ่าย,ภาษีสรรพสามิตค้างจ่าย,ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้นิติบุคคลค้างจ่าย,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้นของบริษัท,รวมหนี้สิน,รวมหนี้สินหมุนเวียน,รวมหนี้สินไม่หมุนเวียน,รายการระหว่างธนาคารและตลาดเงิน,รายการอื่น,รายได้รอการรับรู้ - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,รายได้รอการรับรู้ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,รายได้รับล่วงหน้า,สำรองค่าสินไหมทดแทนและค่าสินไหมทดแทนค้างจ่าย,สำรองตามกฎหมาย,สำรองอื่น ๆ,สำรองเบี้ยประกันภัย,สำรองเผื่อหนี้สินจากคดีความฟ้องร้อง,สำรองเพื่อขยายงาน,สำรองเพื่อชำระคืนเงินกู้ยืม,สำรองเพื่อซื้อหุ้นทุนซื้อคืน,สินทรัพย์สุทธิ,สินทรัพย์สุทธิต่อหน่วย (หน่วย : บาท),ส่วนของหนี้สินระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนเกิน (ต่ำกว่า) ทุนจากการรวมธุรกิจภายใต้การควบคุมเดียวกัน,ส่วนเกิน (ต่ำกว่า) ทุนจากการเปลี่ยนแปลงมูลค่ายุติธรรมของเงินลงทุน,ส่วนเกิน (ต่ำกว่า) ทุนจากการเพิ่มทุนของบริษัทย่อย และ/หรือ บริษัทร่วม,ส่วนเกิน (ต่ำกว่า) ทุนจากรายการในส่วนของผู้ถือหุ้นของบริษัทย่อย และ/หรือ บริษัทร่วม,ส่วนเกิน (ต่ำกว่า) ทุนจากหุ้นทุนซื้อคืน,ส่วนเกิน (ต่ำกว่า) ทุนอื่น,ส่วนเกิน (ต่ำกว่า) ทุนอื่น - อื่น ๆ,ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้น,ส่วนเกินทุนจากการตีราคาสินทรัพย์ถาวร,ส่วนเกินทุนจากการลดทุน,ส่วนเกินทุนจากใบสำคัญแสดงสิทธิที่หมดอายุแล้ว,ส่วนแบ่งผลขาดทุนที่เกินเงินลงทุนในบริษัทร่วม และ/หรือ กิจการร่วมค้า,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,หนี้สินจากสัญญาประกันภัย,หนี้สินจ่ายคืนเมื่อทวงถาม,หนี้สินตราสารอนุพันธ์,หนี้สินตราสารอนุพันธ์หมุนเวียน,หนี้สินตราสารอนุพันธ์ไม่หมุนเวียน,หนี้สินตามสัญญาปรับโครงสร้างหนี้และฟื้นฟูกิจการ,หนี้สินตามสัญญาเช่าการเงิน,หนี้สินตามสัมปทานสิทธิ,หนี้สินทางการเงิน,หนี้สินทางการเงินที่กำหนดให้แสดงด้วยมูลค่ายุติธรรม,หนี้สินทางการเงินหมุนเวียนอื่น,หนี้สินทางการเงินอื่น,หนี้สินทางการเงินไม่หมุนเวียนอื่น,หนี้สินที่เกี่ยวข้องโดยตรงกับสินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินภาษีเงินได้รอตัดบัญชี,หนี้สินระยะยาว - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินระยะยาวอื่น,หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น - อื่น ๆ,หนี้สินอื่น,หนี้สินและทุน,หนี้สินไม่หมุนเวียน - อื่น ๆ,หนี้สินไม่หมุนเวียนอื่น,หลักทรัพย์ขายโดยมีสัญญาซื้อคืน,หุ้นกู้และตราสารหนี้อื่น,หุ้นของบริษัทที่ถือโดยบริษัทย่อย,หุ้นทุนซื้อคืน,หุ้นทุนรับซื้อคืน / หุ้นของบริษัทที่ถือโดยบริษัทย่อย,หุ้นบุริมสิทธิ,หุ้นสามัญ,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,อื่น ๆ,เงินกู้ยืม,เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว - บุคคลหรือกิจการที่เกี่ยวข้องกัน,เงินกู้ยืมระยะยาว - บุคคลหรือกิจการอื่น,เงินกู้ยืมระยะยาว - สถาบันการเงิน,เงินกู้ยืมระยะสั้น,เงินกู้ยืมและเงินรับฝาก,เงินค้างจ่ายเกี่ยวกับการประกันภัยต่อ,เงินถือไว้จากการประกันภัยต่อ,เงินทดรองรับและเงินกู้ยืมระยะสั้น,เงินประกันผลงาน,เงินปันผลค้างจ่าย,เงินฝากที่เป็นเงินตราต่างประเทศ,เงินฝากที่เป็นเงินบาท,เงินมัดจำ,เงินมัดจำการเช่าและบริการ,เงินรับฝาก,เงินรับล่วงหน้าค่าหุ้น,เงินรับล่วงหน้าจากลูกค้า - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เงินรับล่วงหน้าจากลูกค้า - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เงินสำรองการเสี่ยงภัยที่ยังไม่สิ้นสุด,เงินเบิกเกินบัญชีและเงินกู้ยืมจากสถาบันการเงิน,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เจ้าหนี้,เจ้าหนี้การค้าและเจ้าหนี้อื่น,เจ้าหนี้ค่าที่ดินและค่าก่อสร้าง,เจ้าหนี้ค้างจ่าย,เจ้าหนี้จากการซื้อเงินลงทุน,เจ้าหนี้จากการแบ่งปันส่วนทุน,เจ้าหนี้ทรัสต์รีซีท,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้ระยะยาวอื่น - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เจ้าหนี้ระยะยาวอื่นที่ถึงกำหนดชำระภายในหนึ่งปี,เจ้าหนี้ระยะสั้นอื่น - สุทธิ,เจ้าหนี้สำนักหักบัญชี,เจ้าหนี้อื่น,ในประเทศ - มีดอกเบี้ย,ในประเทศ - ไม่มีดอกเบี้ย,ใบสำคัญแสดงสิทธิ สิทธิซื้อหุ้น และสิทธิในการเลือกซื้อหุ้น
CBG,,108.96,"1,774.59","1,674.59",100.00,,,,,,,,,,,"1,000.00","1,000.00",,,57.13,,,,,,,,,,,,94.72,"7,005.31","7,113.78","5,514.61","3,206.58","2,308.03",,-55.96,,,,,100.00,,,,,,,,,300.00,323.22,,,,,432.17,,"3,962.98",,,,,-108.48,,,,,,,,,,,,,,,,102.20,,0.15,"2,190.40",,107.25,12.53,,(หน่วย: ล้านบาท),,15.28,,,,,,,"3,962.98",376.21,,,,,,"2,190.40",,,,,57.13,,,,,15.28,,,,,,,,845.00,,"1,897.20",,,,,,,,,,,,,,,
CFRESH,,,641.86,593.29,48.57,,,91.28,,,,997.89,,,,485.69,463.55,,,,3.15,,,,,,,,,,,39.30,"2,166.69","1,869.78","3,448.96","2,190.12","1,258.84",,,,,,,48.57,,,,,,,,,106.81,2.20,,,-49.96,12.90,-34.86,,799.23,,,,,296.91,,,,1.11,,,1.93,,,,,,,,,53.07,,22.62,"1,182.72",,152.48,21.89,,(หน่วย: ล้านบาท),0.44,0.44,,,,,,,799.23,-34.86,-49.96,,,,,184.83,,,,,,,,,,,,,,,,,,"1,372.86",,552.91,,,,,,,,,3.15,0.80,,,,,
CM,,,994.64,956.53,38.12,,,,,,,,,,,381.15,381.15,,,,66.66,,,,,,,,,,,11.85,"1,443.79","1,443.79",131.91,82.97,48.94,,,,,,,38.12,,,,,,,,,0.84,,,,,,,,68.00,,,,,,,,,,,,2.71,,,,,,,,,46.23,,,2.71,,15.48,3.63,,(หน่วย: ล้านบาท),,,,,,,,,68.00,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66,,,,,,,,,,,,,,,
CPF,,,"83,044.86","82,115.69",929.17,,,"10,996.85",,,,,,,,"9,291.53","8,611.24",,,417.61,"35,945.59",,"1,467.14",,,,,,,,,"1,625.30","226,641.86","168,015.20","366,855.09","190,618.40","176,236.69",,"14,554.79",,,,,929.17,,,,,,,,,"25,251.50",-5.16,,,"3,949.78",,"7,414.64","3,470.02","57,298.91",,,,,"58,626.66",,,,,,,,,,,,,,,,"5,765.75",,"9,985.31","159,018.50",,"26,089.16","13,467.00",,(หน่วย: ล้านบาท),,,,,"2,909.25",,"2,909.25",,"57,298.91","21,969.44","3,949.78",,,,,,,,,,"36,363.19",,,,,,,,,,,,,"68,077.20",,"34,837.34",,,,,,,,,,,,,,,
CPI,,,228.17,195.82,32.35,,,,,,,,,,,775.42,632.75,,,,151.43,,,,,,,,14.41,,,,"1,768.92","1,768.92","2,742.72","1,704.91","1,037.81",,,,,,,32.35,,,,,,,,,282.15,,,,,,483.25,,412.31,483.25,,,,,,,,,,,,,,,,,,,,50.42,,89.03,898.37,,18.33,3.92,,(หน่วย: ล้านบาท),,,,,,,,,412.31,483.25,,,,,,898.37,,,,,,,,,,,,,,,,,,"1,253.00",,151.43,,,,,,,,,,,,,,,12.44
F&D,,,-59.71,-75.14,15.43,,,,,,,,,,,180.00,176.24,,,,,,,,,,,,,,,,585.01,585.01,355.86,273.13,82.73,,,,,,,15.43,,,,,,,,,1.45,,,,,,,,125.67,,,,,,,,,,,,1.45,,,,,,,,,24.87,,56.96,0.90,,1.20,,,(หน่วย: ล้านบาท),,,,,,,,,125.67,342.80,,,,,,0.90,,,,,,,,,,,,,,,,,,197.15,,73.33,,,,,,,,,,,,,,,
HTC,,,824.07,764.07,60.00,,,,,,,150.00,,,,199.22,199.22,,,,453.53,,,,,,,,,,,2.52,"2,665.25","2,665.24","1,943.99",990.18,953.81,,,,,,,25.00,35.00,,,,,,,,302.63,,,,,,,,353.95,,,,,0.02,,,,,,,108.37,,,,,,,,,160.19,,283.83,487.87,,2.52,,,(หน่วย: ล้านบาท),,21.93,,,,,,,353.95,"1,288.00",,,,,,379.50,,,,,,,,,,21.93,,,,,,,,,,231.50,,,,,,,,,,453.53,,,,,
ICHI,,,"1,206.95","1,076.95",130.00,,,203.93,,,,,,,,"1,300.00","1,300.00",,,,142.07,,,,,,,,,,,7.19,"6,056.17","6,056.17","2,570.13","1,772.85",797.28,,-22.28,,,,,130.00,,,,,,,,,647.53,,,,,,56.08,56.08,"3,515.42",,,,,,,,,,,,,,,,,,,,,29.78,,,767.50,,211.13,,,(หน่วย: ล้านบาท),,,,,,,,,"3,515.42",33.80,,,,,,767.50,,,,,,,,,,,,,,,,,,240.00,,426.00,106.13,,,,,,,,,142.07,,,,,
KBS,,,319.22,259.22,60.00,,,,,,,,,,,600.00,600.00,,,34.44,80.32,,,,,,,,,,,2.25,"3,145.73","3,145.73","7,011.86","5,281.34","1,730.52",,,,,,,60.00,,,,,,,,,"1,255.47",,,,,,,,"2,230.18",,,,,,,,,0.26,,,33.78,,,,,,,,,33.69,,,"1,696.83",,39.82,37.56,,(หน่วย: ล้านบาท),,,,,,,,,"2,230.18",-3.67,,,,,,"1,663.05",,,,,,,,,,,,,,,,,,"2,548.20",,"1,357.28",,,,,,,,,,80.32,,,,,
KSL,,,"10,945.49","10,724.98",220.51,,,,,,,"8,493.22",,,,"2,205.12","2,205.12",,,,,,,,,,,,,,,48.26,"18,115.94","17,681.30","28,393.48","15,036.35","13,357.12",,,,,,,220.51,,,,,,,,,"4,923.21",,,,,,,,"2,946.44",,,,,434.63,,,,,,,,,,,,,,,,269.29,,"1,161.33","11,825.22",,496.58,448.31,,(หน่วย: ล้านบาท),,101.28,,,,,,,"2,946.44","1,584.26",,,,,,"3,332.00",,,,,5.00,,,,,,,,,,,,,"5,607.84",,"4,003.73",,,,,,,,,,,,,,,
KTIS,,,"2,489.26","2,199.51",289.75,,,,,,,,,,,"3,888.00","3,860.00",,,,,,29.36,,,,,,,,,61.81,"8,112.15","8,112.15","9,703.98","5,583.86","4,120.12",,,,,,,289.75,,,,,,,,,632.63,"-3,577.17",,,,,"-3,439.99",137.17,"5,202.88",,,,,,,,,,,,791.10,,,,,,,,,333.16,,,"3,218.96",,145.24,83.43,,(หน่วย: ล้านบาท),,538.64,,,,,,,"5,202.88","-3,439.99",,,,72.75,108.20,"2,246.91",,,,,,,,,,,,,,,,,,"2,365.60",,"2,440.39",,,,,,,,,,,,,,,
LST,,-6.58,"2,333.31","2,218.55",114.76,,,,,,,,,,,820.00,820.00,,,,,,,,,,,,,,,27.70,"3,729.89","3,393.55","2,310.39","2,147.16",163.23,,-0.42,,,,,114.76,,,,,,,,,103.57,,,,,5.27,-1.31,,241.97,,,,,336.34,,,,,,,0.38,,,,,,,,,132.34,,,30.90,,68.22,40.52,,(หน่วย: ล้านบาท),,,,,,,,,241.97,-1.73,,,,,30.51,,,,,,,,,,,,,,,,,,,"1,480.00",,495.37,,,,,,,,,,,,,,,
M,,,"3,459.85","3,367.26",92.58,,,,,,,,,,,925.85,920.88,,,,,,,,,,,,,,,208.14,"13,828.64","13,828.64","2,454.09","2,108.85",345.23,,,11.62,,,,92.58,,,,,,,,,,,,,,,,,"8,785.03",,,,,,,,,,,,,,,,,,,,,320.03,,,,,440.96,232.82,,(หน่วย: ล้านบาท),,13.59,,,,,,,"8,785.03",6.56,,,,,,,,,,,,,,,,,,,,,39.96,,,,,"1,627.93",,,,,,,,,,,,,,,656.33
MALEE,,,"1,270.06","1,256.06",14.00,,,,,,,,,,,140.00,140.00,,,9.60,280.25,,,,,,,,,,,10.56,"1,611.73","1,611.73","2,778.45","2,309.31",469.14,,195.82,,,,,14.00,,,,,,,,,167.20,,,,,5.85,5.85,,,,,,10.71,,,,,,,,85.34,,,,,,,,,67.14,,59.55,331.74,,32.53,16.66,,(หน่วย: ล้านบาท),,,,,,,,,140.00,201.67,,,,,,246.40,,,,,,,5.31,,,,,,,,28.83,,,"1,327.77",,472.73,,,,,,,,,,280.25,,,,,
MINT,,,"31,526.67","31,062.49",464.18,,,,,,,"23,134.04",,,,"4,621.83","4,618.91",,,,,,,325.61,,,,,,,,,"50,020.93","47,328.59","68,422.63","16,602.69","51,819.94",,"-3,936.39",,125.47,,,464.18,,,,,,,,,"3,765.41",,,,,,104.79,,"15,014.61",,,104.79,,"2,692.33",,,,,,,10.26,,,,,,,,,222.23,,"5,519.60","44,842.64",,"1,878.96","1,878.96",,(หน่วย: ล้านบาท),,"1,235.46",,,,,,,"15,014.61","-3,831.60",,,,,"21,698.33",,,,,,,,,,,,,,,,,,,"1,554.53",,"8,952.71",,,,,,,,,,,,,,,
OISHI,,,"4,729.42","4,691.92",37.50,,,,,,,"1,000.00",,,,375.00,375.00,,,,820.20,,,,-0.69,,,,,,,57.16,"5,888.39","5,877.87","3,878.94","2,797.86","1,081.08",,,,,,,37.50,,,,,,,,,"1,006.48",,,,,,164.74,,609.40,164.74,,,,10.52,,,,,,,6.48,,,,,,,,,74.46,,,"1,000.00",,113.38,56.22,,(หน่วย: ล้านบาท),,6.62,,,,,,,609.40,164.04,,,,,,,,,,,,,,,,,,,,,,,,,,857.80,,,,,,,,,,820.20,,,,,
PB,,,"5,562.99","5,517.99",45.00,,,208.95,,,,,,,,450.00,450.00,,,,,,,,,,,,,,,80.21,"6,707.65","6,707.65","1,289.67","1,032.12",257.55,,,,,,,45.00,,,,,,,,,56.24,,,,,,,,674.38,,,,,,,,,,,,52.64,,,,,,,,,84.27,,,170.25,,295.31,6.15,,(หน่วย: ล้านบาท),,3.03,,,,,,,674.38,20.28,,,,77.98,39.63,,,,,,,,,,,,,,,,,,,,,680.57,,,,,,,,,,,,,,,
PM,,,924.23,862.05,62.18,,,,,,,,,,,598.25,598.25,,,,,,,,,,,,,,,12.18,"1,718.91","1,714.63",834.16,652.29,181.87,,,,,,,62.18,,,,,,,,,,,,,,,,,,,,,,4.28,,,,,,,,,,,,,,,,104.41,,77.47,,,28.86,16.67,,(หน่วย: ล้านบาท),,,,,,,,,598.25,192.15,,,,,,,,,,,,,,,,,,,,,,,,,,623.43,,,,,,,,,,,,,,,
PRG,,,624.73,534.73,90.00,,,,,,,,,,,900.00,600.00,,,1.92,80.62,,,,,,,,2.61,,,,"8,355.33","8,346.25","2,544.17",805.07,"1,739.10",,,,,,,90.00,,,,,,,,,0.30,,"6,958.81",2.70,,,"6,961.51",,160.00,,,,,9.08,,,,,,,0.10,,,,,,,,,17.10,,"1,719.35",0.10,,18.09,15.09,,(หน่วย: ล้านบาท),2.54,2.54,,,,,,,160.00,"6,961.51",,,,,,,,,,,,,,,,0.39,,,,,,,,704.14,,82.54,,,,,,,,,,,,,,,
SAPPE,,,999.01,968.55,30.46,,,,,,,,,,,304.62,303.08,,,4.18,276.09,,,,0.91,,,,,,,43.08,"2,252.40","2,257.31",506.01,493.00,13.00,,,,,,,30.46,,,,,,,,,,-4.37,,,,,-4.37,,956.75,,,,,-4.91,,,,,,,,,,,,,,,,8.75,,,,,43.08,,,(หน่วย: ล้านบาท),,4.26,,,,,,,956.75,-3.46,,,,,,,,,,,4.18,,,,,,,,,,,,,1.05,,168.60,,,,,,,,,,276.09,,,,,1.93
SAUCE,,,"1,349.21","1,289.21",60.00,,,,,,,,,,,600.00,360.00,,,,115.13,,,,,,,,,,,36.54,"2,324.89","2,324.89",285.51,243.67,41.84,,,,,,,60.00,,,,,,,,,,,0.08,,,,0.08,,615.60,,,,,,,,,,,,,,,,,,,,,41.84,,,,,36.54,,,(หน่วย: ล้านบาท),,,,,,,,,615.60,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,92.01,,,,,,,,,,115.13,,,,,
SFP,,,"2,044.98","2,014.98",30.00,,,,,,,,,,,300.00,210.00,,,,55.13,,,,,,,,,,,,"2,475.21","2,475.21",415.47,337.54,77.93,,,,,,,30.00,,,,,,,,,,,,,,,,,360.81,,,,,,,,,,,,,,,,,,,,,77.79,,,,,5.28,,,(หน่วย: ล้านบาท),0.14,0.14,,,,,,,360.81,-140.57,,,,,,,,,,,,,,,,,,,,,41.75,,,,,235.39,,,,,,,,,,55.13,,,,,
SNP,,,"1,305.36","1,253.02",52.34,,,,,,,,,,,490.41,490.41,,,1.96,388.75,,,,-48.80,,,,,,,44.36,"2,624.69","2,516.86","1,345.63","1,060.79",284.84,,79.90,28.08,,,,52.34,,,,,,,,,18.34,,,,,,,,689.98,,,,,107.83,,,,,,,,,,,,,,,,171.30,1.99,1.72,16.13,,105.39,61.03,,(หน่วย: ล้านบาท),,67.61,,,,,,,689.98,31.10,,,,,18.34,16.13,,,,,,,,,,,,,,,,,,,,493.32,53.00,,,,,,,,,388.75,,,,,
SORKON,,0.50,363.78,331.44,32.34,,,,,,,,,,,323.40,323.40,,,,,,,,0.02,,,,,,,11.00,937.69,936.64,"1,538.07","1,056.93",481.14,,,,,,,32.34,,,,,,,,,94.70,,,,41.75,37.55,199.16,,50.28,41.75,,,,1.04,,,,,,,2.79,,,,,,,,,64.72,,30.12,381.58,,29.24,18.24,,(หน่วย: ล้านบาท),4.71,4.71,,,,,,,37.55,199.19,,,,,,378.80,,,,,,,,,,,,,,,,,,646.67,,286.32,,,,,,,,,,,,,,,
SSC,,,"4,023.12","1,711.32","2,311.80",,,,,,,,,,,265.90,265.90,,,242.56,438.32,,,,,,,,,,,0.03,"8,633.21","8,633.21","3,309.85","2,203.69","1,106.16",,,,,,,26.80,"2,285.00",,,,,,,,,,,,,,,,"1,342.45",,,,,,,,,,,,,,,,,,,,,"1,074.58",,31.58,,,562.01,37.97,,(หน่วย: ล้านบาท),,,,,,,,,"1,342.45","3,001.75",,,,,,,,,,,,,73.46,,,450.56,,,,,,,,,,960.80,,,,,,,,,,680.88,,,,,
SSF,,,889.39,862.39,27.00,,,,,,,,,,,270.00,270.00,,,5.00,228.04,,,,,,,,,,,16.64,"2,319.35","1,726.97","1,306.10",660.80,645.29,,,,,,,27.00,,,,,,,,,28.07,,,,,,,,270.00,,,,,592.38,,,,,,,22.41,,,,,,,,,121.49,,70.26,453.55,,16.64,,,(หน่วย: ล้านบาท),,,,,,,,,270.00,297.58,,,,,,431.14,,,,,5.00,,,,,,,,,,,,,188.51,,194.54,,,,,,,,,,228.04,,,,,
SST,,690.26,530.93,488.15,42.78,,,,,,,596.56,,,,704.43,455.81,,,,39.39,,,,,,,,,,,10.03,"3,269.23","2,252.64","2,921.22","1,692.92","1,228.29",,200.86,,,,,42.78,,,,,,,,,587.13,,,,,37.01,727.27,,337.77,,,,,"1,016.59",,,,,,,,,,,,,,,,38.59,,313.37,834.19,,94.63,84.60,,(หน่วย: ล้านบาท),,42.14,,,,,,,37.01,928.12,,,,,,237.63,,,,,,,,,,,,,,,,,,457.50,,514.27,,,,,,,,,,39.39,,,,,
TC,,,871.90,838.90,33.00,,,,,,,,,,,330.00,330.00,,,,81.96,,,,,,,,,,,0.42,"1,622.39","1,622.39",645.60,540.14,105.46,,,,,,,33.00,,,,,,,,,,,,,,,,,420.49,,,,,0.00,,,,,,,,,,,,,,,,105.46,,,,,0.42,,,(หน่วย: ล้านบาท),,,,,,,,,420.49,,,,,,,,,,,,,,,,,,,,,,,,,150.32,,307.43,,,,,,,,,,81.96,,,,,
TFG,,-21.95,"1,291.88","1,128.69",163.19,,,,,,,"1,148.50",,,,"6,138.16","5,109.40",,,,"1,157.78",,,,,,,,,,,42.43,"7,371.14","7,370.82","11,522.57","8,953.50","2,569.07",,227.43,,,,,163.19,,,,,,,,,966.32,-231.27,,,,,-253.22,,995.33,,,,,0.32,,,,,,,717.93,,,,,,,,,60.19,,190.05,"2,316.34",,42.43,,,(หน่วย: ล้านบาท),,2.49,,,,,,,995.33,-25.79,,,,,,449.91,,,,,,2.49,,,,,,,,,,,,"4,858.94",,"1,928.04",,,,,,,,,,"1,157.78",,,,,
TFMAMA,,,"18,498.46","18,459.46",39.00,,,444.28,,,,,,,,329.70,329.70,,,259.49,"1,528.07",,806.61,,,,,,,,,242.66,"25,717.21","19,877.24","3,705.96","2,627.54","1,078.42",,,,,,,39.00,,,,,,,,,82.66,,,,,,,,712.96,,,,,"5,839.97",,,,,,,93.83,,,,,,,,,,,,211.44,,757.31,70.38,,(หน่วย: ล้านบาท),60.37,60.37,,,,,,,712.96,336.11,,,,77.98,39.63,,,,,,,,,,,,,,,,,,,,,"1,787.56",,,,,,,,,,,,,,,
TIPCO,,-135.83,"4,205.88","4,155.88",50.00,,,,,,,,,,,500.00,482.58,,,,,,1.25,,,,,,,,,3.96,"4,370.62","4,370.62","2,567.81","1,771.26",796.55,,-218.88,,,,,50.00,,,,,,,,,197.50,,,,,,-98.96,36.87,,,,,,,,,,,,,,,,,,,,,,85.85,,,709.45,,47.53,43.57,,(หน่วย: ล้านบาท),,,,,,,,,482.58,-317.84,,,,,,709.45,,,,,,,,,,,,,,,,,,720.85,,805.38,,,,,,,,,,,,,,,
TKN,,,518.02,483.23,34.78,,,,,,,,,,,345.00,345.00,,,,14.25,,,,,,,,,,,104.50,"2,175.96","2,175.96","1,146.16","1,117.61",28.54,,,,,,,34.78,,,,,,,,,,,,,,,,,"1,315.44",,,,,,,,,,,,,,,,,,,,,11.20,,,17.34,,115.22,10.72,,(หน่วย: ล้านบาท),,,,,,,,,"1,315.44",-2.49,,,,,17.34,,,,,,14.25,,,,,,,,,,,,,426.00,,562.14,,,,,,,,,,,,,,,
TU,,,"29,370.04","29,220.74",149.30,,,,,,,"36,168.88",,,,"1,492.95","1,192.95",,,119.30,318.36,,,,,,,,,,,15.97,"48,227.14","44,459.40","98,040.42","36,657.49","61,382.94",,,,,,,149.30,,,,,,,,,896.54,,,,,,,,"19,948.33",,,,,"3,767.74",,,,,,,154.78,,,,,,,24.93,,"2,356.19",,"4,592.18","51,035.41",,223.95,207.98,,(หน่วย: ล้านบาท),,"3,080.80",,,,,,,"19,948.33","-6,051.92",,,,,,"14,711.75",,,,,119.30,,,,,,,,,,,,,"15,245.77",,"19,822.67",,,,,,,,318.36,324.32,,,,,,
TVO,,28.38,"4,863.95","4,769.51",94.44,,,,,,,,,,,808.61,808.61,,,,,,,,,,,,,,,137.57,"8,566.32","8,188.49","3,048.73","2,937.32",111.41,,12.46,,,,,94.44,,,,,,,,,,,,,,,28.38,,"2,475.09",,,,,377.83,,,,1.40,,,,,,,,,,,,111.41,,,,,242.39,104.82,,(หน่วย: ล้านบาท),,,,,,,,,"2,475.09",40.84,,,,,,,,,,,,,,,,,,,,,,,,,,"1,491.11",,,,,"1,202.42",,,,,,,,,,
AFC,,,-65.77,-65.77,,,,,,,,,,,,"1,000.00",455.74,,,,,,,,,,,,,,,,"1,211.59","1,211.59",238.37,82.77,155.59,,,,,,,,,,,,,,,,0.17,,,,,,,,276.12,,,,,,,,,,,,0.26,,,,,,,,,47.21,,107.22,0.26,0.17,,,,(หน่วย: ล้านบาท),,0.91,,,,,,,276.12,545.50,,,,,,,,,,,,,,,,,,,,,,,,,,82.60,,,,,,,,,,,,,,,
BTNC,,11.02,48.73,41.42,7.32,,,,,,,,,,,250.00,120.00,,,86.89,5.00,,,,,,,,,,,,454.81,454.81,353.65,344.01,9.64,,-4.20,,,,,7.32,,,,,,,,,0.43,,,,,,11.02,,279.26,,,,,,,,,,,,1.07,,,,,,,,,6.98,,,1.07,,10.77,10.77,,(หน่วย: ล้านบาท),1.59,1.59,,,,,,,279.26,6.82,,,,,,,,,,,91.89,,,,,,,,,,,,,109.42,,99.06,,,,,,,,,,32.43,,,,,
CPH,,,-42.29,-74.13,31.84,,,,,,,,,,,400.00,400.00,,,,,,,,,,,,,,,,795.35,795.32,677.00,555.40,121.60,,,,,,,31.84,,,,,,,,,12.00,,,,,,,,164.00,,,,,0.03,,,,,,,,,,,,,,,,43.13,,71.47,7.00,,,,,(หน่วย: ล้านบาท),,,,,,,,,164.00,273.62,,,,,,7.00,,,,,,,,,,,,,,,,,,442.12,,101.29,,,,,,,,,,,,,,,
